/home/samuele.angheben/vr_env/lib64/python3.9/site-packages/networkx/utils/backends.py:135: RuntimeWarning: networkx backend defined more than once: nx-loopback
  backends.update(_get_backends("networkx.backends"))
Loaded dataset with categories: ['Faces', 'Faces_easy', 'Leopards', 'Motorbikes', 'accordion', 'airplanes', 'anchor', 'ant', 'barrel', 'bass', 'beaver', 'binocular', 'bonsai', 'brain', 'brontosaurus', 'buddha', 'butterfly', 'camera', 'cannon', 'car_side', 'ceiling_fan', 'cellphone', 'chair', 'chandelier', 'cougar_body', 'cougar_face', 'crab', 'crayfish', 'crocodile', 'crocodile_head', 'cup', 'dalmatian', 'dollar_bill', 'dolphin', 'dragonfly', 'electric_guitar', 'elephant', 'emu', 'euphonium', 'ewer', 'ferry', 'flamingo', 'flamingo_head', 'garfield', 'gerenuk', 'gramophone', 'grand_piano', 'hawksbill', 'headphone', 'hedgehog', 'helicopter', 'ibis', 'inline_skate', 'joshua_tree', 'kangaroo', 'ketch', 'lamp', 'laptop', 'llama', 'lobster', 'lotus', 'mandolin', 'mayfly', 'menorah', 'metronome', 'minaret', 'nautilus', 'octopus', 'okapi', 'pagoda', 'panda', 'pigeon', 'pizza', 'platypus', 'pyramid', 'revolver', 'rhino', 'rooster', 'saxophone', 'schooner', 'scissors', 'scorpion', 'sea_horse', 'snoopy', 'soccer_ball', 'stapler', 'starfish', 'stegosaurus', 'stop_sign', 'strawberry', 'sunflower', 'tick', 'trilobite', 'umbrella', 'watch', 'water_lilly', 'wheelchair', 'wild_cat', 'windsor_chair', 'wrench', 'yin_yang']
Loading checkpoint shards:   0%|          | 0/2 [00:00<?, ?it/s]Loading checkpoint shards:  50%|█████     | 1/2 [00:00<00:00,  1.44it/s]Loading checkpoint shards: 100%|██████████| 2/2 [00:01<00:00,  1.66it/s]Loading checkpoint shards: 100%|██████████| 2/2 [00:01<00:00,  1.62it/s]
Using a slow image processor as `use_fast` is unset and a slow processor was saved with this model. `use_fast=True` will be the default behavior in v4.52, even if the model was saved with a slow processor. This will result in minor differences in outputs. You'll still be able to use a slow processor with `use_fast=False`.
You have video processor config saved in `preprocessor.json` file which is deprecated. Video processor configs should be saved in their own `video_preprocessor.json` file. You can rename the file or load and save the processor back which renames it automatically. Loading from `preprocessor.json` will be removed in v5.0.
Model loaded.
Processing prompt1: 'Identify the object. Use 1 to 3 words.' (reasoning=False)
[prompt1] Example 0: label=Faces, prediction=man [✗ WRONG]
[prompt1] Example 1: label=Faces, prediction=man [✗ WRONG]
[prompt1] Example 2: label=Faces, prediction=man [✗ WRONG]
[prompt1] Example 3: label=Faces, prediction=man [✗ WRONG]
[prompt1] Example 4: label=Faces, prediction=man [✗ WRONG]
[prompt1] Example 5: label=Faces, prediction=man [✗ WRONG]
[prompt1] Example 6: label=Faces, prediction=Man in blue shirt. [✗ WRONG]
[prompt1] Example 7: label=Faces, prediction=man [✗ WRONG]
[prompt1] Example 8: label=Faces, prediction=man [✗ WRONG]
[prompt1] Example 9: label=Faces, prediction=computer monitor [✗ WRONG]
[prompt1] Example 10: label=Faces, prediction=book [✗ WRONG]
[prompt1] Example 11: label=Faces, prediction=man [✗ WRONG]
[prompt1] Example 12: label=Faces, prediction=man [✗ WRONG]
[prompt1] Example 13: label=Faces, prediction=man [✗ WRONG]
[prompt1] Example 14: label=Faces, prediction=man [✗ WRONG]
[prompt1] Example 15: label=Faces, prediction=Shelf [✗ WRONG]
[prompt1] Example 16: label=Faces, prediction=Bookshelf [✗ WRONG]
[prompt1] Example 17: label=Faces, prediction=man [✗ WRONG]
[prompt1] Example 18: label=Faces, prediction=man [✗ WRONG]
[prompt1] Example 19: label=Faces, prediction=woman [✗ WRONG]
[prompt1] Example 20: label=Faces, prediction=woman [✗ WRONG]
[prompt1] Example 21: label=Faces, prediction=Woman with earrings. [✗ WRONG]
[prompt1] Example 22: label=Faces, prediction=Woman smiling. [✗ WRONG]
[prompt1] Example 23: label=Faces, prediction=paper [✗ WRONG]
[prompt1] Example 24: label=Faces, prediction=woman [✗ WRONG]
[prompt1] Example 25: label=Faces, prediction=Woman smiling. [✗ WRONG]
[prompt1] Example 26: label=Faces, prediction=woman [✗ WRONG]
